Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend
2022-03-17,338.37,344.5,337.0406,344.44,67809950.0,23115256000.0,344.44,0.0
2022-03-18,342.74,351.79,341.55,351.49,85446344.0,29713732000.0,351.49,0.43369
2022-03-21,350.2,352.48,345.575,350.08,73799070.0,25763903000.0,350.08,0.0
2022-03-22,350.59,357.85,350.2,356.96,63345930.0,22497907000.0,356.96,0.0
2022-03-23,354.01,357.66,351.77,351.83,70615460.0,25017512000.0,351.83,0.0
2022-03-24,353.8,359.7,351.5939,359.65,53555252.0,19053738000.0,359.65,0.0
2022-03-25,359.59,360.67,354.9438,359.35,57584160.0,20619604000.0,359.35,0.0
2022-03-28,359.34,365.01,358.07,364.91,56833864.0,20555300000.0,364.91,0.0
2022-03-29,368.9,371.83,366.06,371.19,68072950.0,25126780000.0,371.19,0.0
2022-03-30,369.275,370.98,365.57,367.09,68757710.0,25344104000.0,367.09,0.0
2022-03-31,367.24,367.6,361.68,362.54,67011404.0,24465790000.0,362.54,0.0
2022-04-01,362.81,363.61,358.59,361.85,54527760.0,19681830000.0,361.85,0.0
2022-04-04,362.71,369.31,362.44,369.3,45950172.0,16868356000.0,369.3,0.0
2022-04-05,367.81,368.54,359.93,361.1,62738660.0,22805887000.0,361.1,0.0
2022-04-06,355.65,356.78,350.56,353.26,90077070.0,31855217000.0,353.26,0.0
2022-04-07,352.24,356.35,348.69,354.1,63777372.0,22514348000.0,354.1,0.0
2022-04-08,352.32,353.09,348.5,349.15,61956096.0,21731533000.0,349.15,0.0
2022-04-11,344.81,345.75,340.535,340.89,66107400.0,22700237000.0,340.89,0.0
2022-04-12,345.76,347.69,338.035,339.45,72790216.0,24958726000.0,339.45,0.0
2022-04-13,339.8,347.43,339.06,346.35,61367756.0,21116387000.0,346.35,0.0
2022-04-14,346.44,346.97,338.21,338.43,73519370.0,25128600000.0,338.43,0.0
2022-04-18,337.35,341.04,335.791,338.69,58560556.0,19825586000.0,338.69,0.0
2022-04-19,338.03,346.85,336.98,346.26,56515684.0,19409996000.0,346.26,0.0
2022-04-20,347.09,347.56,339.96,341.21,65500024.0,22457285000.0,341.21,0.0
2022-04-21,345.19,347.87,333.2,334.15,75801010.0,25741824000.0,334.15,0.0
2022-04-22,334.31,335.56,324.96,325.4,82562140.0,27221430000.0,325.4,0.0
2022-04-25,323.73,329.9,322.43,329.58,101755860.0,33133513000.0,329.58,0.0
2022-04-26,327.47,327.66,316.855,317.14,105819630.0,33902416000.0,317.14,0.0
2022-04-27,317.24,322.88,315.0,316.76,111204160.0,35460575000.0,316.76,0.0
2022-04-28,321.85,329.89,317.52,328.01,99449960.0,32197102000.0,328.01,0.0
2022-04-29,323.7,327.225,312.6,313.25,91977860.0,29347650000.0,313.25,0.0
2022-05-02,312.83,318.72,309.645,318.48,115511770.0,36285055000.0,318.48,0.0
2022-05-03,318.5,321.17,315.98,318.82,78185530.0,24906023000.0,318.82,0.0
2022-05-04,319.31,330.29,313.891,329.6,116083390.0,37255870000.0,329.6,0.0
2022-05-05,325.17,325.25,309.62,313.0,154607440.0,48782490000.0,313.0,0.0
2022-05-06,310.95,315.09,305.105,309.25,139572800.0,43256607000.0,309.25,0.0
2022-05-09,303.48,309.3487,295.72,297.15,113387340.0,34079450000.0,297.15,0.0
2022-05-10,304.51,305.76,296.57,300.76,124124550.0,37394735000.0,300.76,0.0
2022-05-11,298.44,304.09,290.95,291.84,140326140.0,41690055000.0,291.84,0.0
2022-05-12,287.45,295.75,284.94,291.15,120910850.0,35005272000.0,291.15,0.0
2022-05-13,295.72,302.999,294.0825,301.94,83684930.0,25082726000.0,301.94,0.0
2022-05-16,300.15,302.26,297.13,298.44,59190430.0,17728377000.0,298.44,0.0
2022-05-17,304.45,306.56,300.55,306.17,62715292.0,19057103000.0,306.17,0.0
2022-05-18,301.54,302.25,289.85,291.14,79477100.0,23453188000.0,291.14,0.0
2022-05-19,289.29,294.39,287.58,289.58,79920710.0,23241187000.0,289.58,0.0
2022-05-20,293.13,293.8,280.21,288.68,91764180.0,26309194000.0,288.68,0.0
2022-05-23,289.75,293.87,287.29,293.48,63648400.0,18529458000.0,293.48,0.0
2022-05-24,288.125,288.86,282.25,287.24,73491120.0,21012832000.0,287.24,0.0
2022-05-25,285.71,293.39,285.5,291.26,67144540.0,19429835000.0,291.26,0.0
2022-05-26,290.44,300.92,290.15,299.33,59462230.0,17701825000.0,299.33,0.0
2022-05-27,302.54,309.25,302.42,309.1,66985596.0,20497936000.0,309.1,0.0
2022-05-31,309.07,311.33,304.33,308.28,60968330.0,18800955000.0,308.28,0.0
2022-06-01,310.47,312.65,303.73,306.0,65341652.0,20103350000.0,306.0,0.0
2022-06-02,304.85,314.56,303.4001,314.38,59291332.0,18374027000.0,314.38,0.0
2022-06-03,309.03,310.47,304.92,306.2,60914684.0,18739909000.0,306.2,0.0
2022-06-06,310.75,312.35,305.62,307.22,51785012.0,15990286000.0,307.22,0.0
2022-06-07,303.81,310.67,302.6886,309.87,44900292.0,13811359000.0,309.87,0.0
2022-06-08,309.05,311.72,306.77,307.64,38342064.0,11851921000.0,307.64,0.0
2022-06-09,305.91,309.05,299.23,299.4,55900476.0,17035981000.0,299.4,0.0
2022-06-10,293.65,294.87,288.384,288.84,85963460.0,25000952000.0,288.84,0.0
2022-06-13,279.75,282.34,274.53,275.41,94442010.0,26321486000.0,275.41,0.0
2022-06-14,277.66,278.66,273.3375,275.91,64697520.0,17864552000.0,275.91,0.0
2022-06-15,279.415,286.83,276.61,282.8,86051420.0,24215722000.0,282.8,0.0
2022-06-16,275.59,276.06,269.28,271.39,81910296.0,22336960000.0,271.39,0.0
2022-06-17,272.18,277.19,270.5119,274.69,82703400.0,22662746000.0,274.69,0.5274
2022-06-21,278.75,283.45,278.64,281.08,51633640.0,14536828000.0,281.08,0.0
2022-06-22,278.52,285.18,277.91,280.67,67472824.0,19013753000.0,280.67,0.0
2022-06-23,283.21,285.72,280.31,284.85,57457796.0,16256606000.0,284.85,0.0
2022-06-24,287.74,295.04,287.5001,294.61,58422264.0,17047805000.0,294.61,0.0
2022-06-27,296.0,296.5799,291.29,292.45,54151452.0,15879731000.0,292.45,0.0
2022-06-28,293.0,295.65,283.35,283.54,61867060.0,17832489000.0,283.54,0.0
2022-06-29,283.4,285.34,280.84,283.8,57302730.0,16242448000.0,283.8,0.0
2022-06-30,280.75,283.9441,275.78,280.28,79313580.0,22213560000.0,280.28,0.0
2022-07-01,278.95,282.53,277.03,282.13,56675108.0,15862849000.0,282.13,0.0
2022-07-05,278.31,287.08,276.7501,286.96,61829270.0,17441972000.0,286.96,0.0
2022-07-06,287.35,290.95,285.59,288.8,63194716.0,18186195000.0,288.8,0.0
2022-07-07,289.63,295.7,289.63,294.98,56620110.0,16602979000.0,294.98,0.0
2022-07-08,292.08,296.75,291.12,295.35,59895480.0,17630724000.0,295.35,0.0
2022-07-11,292.88,293.11,288.14,289.04,55273920.0,16035699000.0,289.04,0.0
2022-07-12,290.32,292.28,284.61,286.24,55797090.0,16080180000.0,286.24,0.0
2022-07-13,280.6,288.05,280.02,285.65,73939416.0,21056438000.0,285.65,0.0
2022-07-14,282.99,287.56,279.8,286.67,63741836.0,18084633000.0,286.67,0.0
2022-07-15,289.73,291.98,288.08,291.87,63818148.0,18518077000.0,291.87,0.0
2022-07-18,294.72,296.16,288.2,289.4,59519580.0,17400097000.0,289.4,0.0
2022-07-19,293.11,298.6,291.47,298.3,55172640.0,16313484000.0,298.3,0.0
2022-07-20,298.73,304.24,297.9329,303.03,67769430.0,20450683000.0,303.03,0.0
2022-07-21,303.5,307.435,300.78,307.38,55049364.0,16774008000.0,307.38,0.0
2022-07-22,306.43,308.55,300.115,301.99,57127696.0,17347170000.0,301.99,0.0
2022-07-25,302.02,302.5,298.22,300.27,40582380.0,12185786000.0,300.27,0.0
2022-07-26,298.53,298.79,293.54,294.37,50073910.0,14806350000.0,294.37,0.0
2022-07-27,299.04,308.54,298.46,306.81,69303710.0,21028907000.0,306.81,0.0
2022-07-28,306.59,310.3965,302.745,309.81,55139900.0,16957026000.0,309.81,0.0
2022-07-29,311.385,316.39,309.931,315.46,57501044.0,18020493000.0,315.46,0.0
2022-08-01,313.65,318.81,312.53,315.27,46338324.0,14616575000.0,315.27,0.0
2022-08-02,312.92,318.545,311.8401,314.33,48676500.0,15312317000.0,314.33,0.0
2022-08-03,316.05,323.7291,315.99,322.89,53735730.0,17231018000.0,322.89,0.0
2022-08-04,322.97,324.72,320.77,324.4,38973660.0,12594247000.0,324.4,0.0
2022-08-05,319.19,323.83,318.39,321.75,53893972.0,17298543000.0,321.75,0.0
2022-08-08,322.69,326.47,319.21,320.71,44066296.0,14213371000.0,320.71,0.0
2022-08-09,318.77,319.03,315.42,317.08,39764220.0,12613807000.0,317.08,0.0
2022-08-10,324.59,326.23,322.0601,325.93,51459564.0,16696671000.0,325.93,0.0
2022-08-11,328.305,330.36,323.36,324.08,45897650.0,14986717000.0,324.08,0.0
2022-08-12,326.175,330.585,325.1001,330.39,40928480.0,13426230000.0,330.39,0.0
2022-08-15,329.42,333.5652,329.4,333.06,38266616.0,12691851000.0,333.06,0.0
2022-08-16,332.055,334.4209,329.16,332.28,41186864.0,13670402000.0,332.28,0.0
2022-08-17,329.07,331.43,326.36,328.49,47842156.0,15727169000.0,328.49,0.0
